Nom;Nom (EN);D?finition;Nom de la Vue (logique);Nom de la Colonne (logique);Nom de la Vue (physique);Nom de la Colonne (physique)
Type Deferral au cours du prêt;Non renseigné;"Ce Deferral est un aménagement du remboursement, négocié en cours de vie du prêt.
Il peut être soit : total (Deferral d’amortissement du capital et de paiement des intérêts), partiel (Deferral d’amortissement du capital).
Des règles de codification spécifiques sont applicables aux prêts Deferrals :
- Si le 1er Deferral est un Deferral total, alors le 2nd Deferral ne peut être qu'un Deferral d'amortissement.
- Si le 1er Deferral est un Deferral d'amortissement, alors il ne peut y avoir de 2nd Deferral.";Contrats;Deferral Type Cd;TEC_CONTRACT;DFRL_TYPE_CD
Position Actif ou Passif des ICNE;Non renseigné;"""P"" pour un positionnement au passif du bilan, ""A"" pour un positionnement à l'actif.";Contrats;Debit Accrued Interest Not Due Amt Liability Asset ind;TEC_CONTRACT;DR_ACRUD_INT_NOT_DUE_AMT_LIABTY_ASSET_IND
Devise ratio LTI réévalué;Non renseigné;Code devise  du ratio LTI réévalué;Tiers;Revalued Loan To Income Amt Currency Cd;TEC_PARTY;RVALD_LOAN_TO_INCM_AMT_CURY_CD
Taux net à la date d'arrêté;Non renseigné;rates net du contrat hors prélèvements fiscaux et sociaux;Contrats;Net Rate;TEC_CONTRACT;NET_RATE
Bonification du Rates annuel du prêt;Non renseigné;Bonification de Rates par les pouvoirs pubilcs pour creations types de prêts;Contrats;Annual Bonification Rate;TEC_CONTRACT;ANNUAL_BONIFICATION_RATE
Montant minimum transfert appel marge;Non renseigné;Montant minimum de transfert d'appel de marge;Contrats;Margin Call Transfert Minimal Amt;TEC_CONTRACT;MRGN_CALL_TFRT_MINIMAL_AMT
Maison Mère Identifiée;Non renseigné;Permet d'identifier si le tiers est la maison mère;Tiers;Head Quarter Ind;TEC_PARTY;HD_QTR_IND
Nominal de la patte cash (euro);Non renseigné;Non renseigné;Contrats;Cash Leg Euro Amt;TEC_CONTRACT;CSH_LEG_EURO_AMT
Identifiant groupe;Non renseigné;Identifiant du groupe;Tiers;Party Group Id;TEC_PARTY;PRTY_GRP_ID
Valeur estimée bien loué - fin période;Non renseigné;Valeur estimée en fin de période du bien loué;Contrats;Agmt Asset Lease Residual Amt;TEC_CONTRACT;AGMT_ASSET_LEAS_RSDUL_AMT
Identifiant du Tiers en risque;Non renseigné;"Permet d'identifier de manière unique le tiers dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Garanties reçues;Risk Party Id;TEC_RECEIVED_GUARANTEE;RISK_PRTY_ID
Montant global actualisé tranche autorisation;Non renseigné;Montant mis à jour global toutes banques pour la tranche de l'autorisation;Autorisation;Facility Tranche Updated Amt;TEC_AUTORIZATION;FAC_TRNCH_UPDTD_AMT
Méthode calcul CVA;Non renseigné;Méthode de calcul CVA;Contrats;CVA Calculation Method Cd;TEC_CONTRACT;CVA_CALCN_METH_CD
Devise solde compte courant associé;Non renseigné;Devise d'expression du solde du compte;Contrats;Related Current Account Balance Currency Cd;TEC_CONTRACT;RLTD_CUR_ACCT_BAL_CURY_CD
Type tiers;Non renseigné;"Permet d'identifier le type de tiers au sens segment de clientèle
Valeurs possibles : Particulier (PAR), PRO & TPE Retail (PRO), Grande clientèle (GC), Retail agrégé (AGR)";Tiers;Party Type Cd;TEC_PARTY;PRTY_TYPE_CD
Montant Intérêts payés ou capitalisés  - Jambe rec. (euro);Non renseigné;Montant des Intérêts payés ou capitalisés dans le mois d'arrêté, contrevalorisé en euro;Contrats;Lending Leg Paid Interest Euro Amt;TEC_CONTRACT;LENDG_LEG_PD_INT_EURO_AMT
Montant loyers;Non renseigné;Montant des loyers;"Tranches ""OMP""";Agreement Asset Leasing Amt;TEC_IFRS9_TRANCHE;AGMT_ASSET_LEASG_AMT
Nominal unitaire du titre (euro);Non renseigné;Valable pour les obligations;Contrats;Security Unitary Nominal Euro Amt;TEC_CONTRACT;SCURTY_UNITRY_NMNL_EURO_AMT
Complémentarité;Non renseigné;Code complémentarité;Contrats;Credit Complementary Cd;TEC_CONTRACT;CR_CMPLEMTRY_CD
PCCO - Provision / Décote;Non renseigné;"PCCO - Provision / Décote (LC.0111)
Cf. Codes du Plan de Comptes Consolidés.";Provisions;Depreciation Amt COA Cd;TEC_DEPRECIATION;DPRCTN_AMT_COA_CD
Montant Créances Impayées en capital;Non renseigné;Montant des Créances Impayées en capital en devise;Contrats;Unpaid Capital Amt;TEC_CONTRACT;UNPD_CPTL_AMT
Date ouverture contrat;Non renseigné;"Date contractuelle de début d'engagement
Il peut s'agir, par exemple, de la date d'octroi du crédit (date de début  de validité de la ligne d'autorisation octroyée - date à l'origine) ou de la date de début d'effet de la sûreté";Contrats;Agreement Open Dt;TEC_CONTRACT;AGMT_OPN_DT
Indicateur éligibilité sûreté;Non renseigné;Indicateur précisant l'éligibilité de la sûreté. (LC.0169);Garanties reçues;Eligibility Ind;TEC_RECEIVED_GUARANTEE;ELGBLY_IND
Domaine d'intervention;Non renseigné;"Les différents domaines d'intervention permettent de sélectionner les financements selon leur finalité économique, quelle que soit la personnalité juridique de l’emprunteur.
La règle générale est de choisir le code domaine d'intervention cohérent avec la finalité économique de l'investissement qui correspond à l'activité de l'entreprise ou à l'une de ses activités dans le cas d'entreprises polyvalentes.
Dans le cas où une entreprise procède à un investissement dont la finalité économique ne correspond pas apparemment à l'une de ses activités, mais si cet investissement est nécessaire à la bonne marche de l'entreprise, le code domaine d'intervention à affecter au financement de cet investissement est celui correspondant à l'activité unique ou principale de l'entreprise.";Contrats;Intervention Domain Cd;TEC_CONTRACT;INTRVNTN_DMN_CD
Montant loyers (euro);Non renseigné;Montant des loyers en euros;"Tranches ""OMP""";Agreement Asset Leasing Euro Amt;TEC_IFRS9_TRANCHE;AGMT_ASSET_LEASG_EURO_AMT
Devise montant accessoires ou CCNE;Non renseigné;Code devise du montant des accessoires, montant des CCNE;Contrats;Commission Amt Currency Cd;TEC_CONTRACT;COMS_AMT_CURY_CD
Devise montant Créances Impayées en intérêts;Non renseigné;Code devise des montants des Créances Impayées en intérêts;Contrats;Unpaid Interest Amt Currency Cd;TEC_CONTRACT;UNPD_INT_AMT_CURY_CD
Taux effectif initial;Non renseigné;Prix de revient de la positon, exprimé en taux ou en pourcentage.;Contrats;Original Effective Rate;TEC_CONTRACT;ORIGNL_EFF_RATE
Bien financé;Non renseigné;"Destination des fonds, description de la nature du bien financé. Par exemple un terrain à vocation agricole, un logement principal individuel ou secondaire, etc.
Cette donnée doit permettre de décrire les objets financés dans le domaine crédit.";Contrats;Funded Asset Cd;TEC_CONTRACT;FUNDD_ASSET_CD
Date d'arrêté;Non renseigné;Date d'arrêté;Tiers;Statement Dt;TEC_PARTY;STTM_DT
Montant actualisé global (euro);Non renseigné;Montant révisé (après prise en compte des échéanciers) total de la syndication (toutes banques et toutes tranches confondues).;Autorisation;Global Updated Euro Amt;TEC_AUTORIZATION;GLOBL_UPDTD_EURO_AMT
Option de rachat anticipé du titre;Non renseigné;Non renseigné;Contrats;Early Repurchase Security Option Ind;TEC_CONTRACT;EARLY_RPRCH_SCURTY_OPTN_IND
Famille de l'option 1;Non renseigné;Contexte d’exercice de l’option 1 : Sécurisation, Pause suite chômage, Pause Agri et Pro, etc÷ (RB 0735);Contrats;Option 1 Family Cd;TEC_CONTRACT;OPTN_1_FMLY_CD
Motant du premier déblocage de fond (euro);Non renseigné;Non renseigné;Paliers;Schedule Stage Euro Amt;TEC_SCHEDULE_STAGE;SCHD_STGE_EURO_AMT
Identifiant Pays;Non renseigné;"Identifiant, autre que l'Identifiant tiers, permettant de reconnaître le tiers 
Il peut s'agir d'identifiants internes ou externes";Tiers;Country Id;TEC_PARTY;CTRY_ID
Taux de Rendement Actuariel Annuel Brut;Non renseigné;rates de Rendement Actuariel Annuel Brut;Contrats;Annual Gross Yield Maturity Rate;TEC_CONTRACT;ANNUAL_GRS_YLD_MATURTY_RATE
Identifiant entité pilote;Non renseigné;"Identifiant national de l’entité déclarante
Correspond au code consolidation comptable (sur 5 caractères)
Il s'agit du pilote, ou chef de file, de l’opération au sein du groupe CA.";Autorisation;Pilot Entity Id;TEC_AUTORIZATION;PILOT_ENT_ID
Date de transfert du PEL;Non renseigné;Date de transfert entrant du PEL;Contrats;Transfert Dt;TEC_CONTRACT;TFRT_DT
Montant d'origine Encours;Non renseigné;Montant d'origine de l'encours en devise;"Tranches ""OMP""";Original Outstanding Amt;TEC_IFRS9_TRANCHE;ORIGNL_OUTST_AMT
Indicateur borrowing base;Non renseigné;Borrowing base;Garanties reçues;Borrowing Base Ind;TEC_RECEIVED_GUARANTEE;BORWG_BASE_IND
Devise valeur unitaire de rachat;Non renseigné;Devise dans laquelle le contrat a été signé/ code devise de la valeur unitaire de rachat;Contrats;Repurchase Security Unitary Amt Currency Cd;TEC_CONTRACT;RPRCH_SCURTY_UNITRY_AMT_CURY_CD
Devise chiffre affaires;Non renseigné;Code de la devise d'expression du CA.;Tiers;Turnover Currency Cd;TEC_PARTY;TRNVR_CURY_CD
Liquidité par défaut;Non renseigné;Indique le délai prévisible de réalisation de notre engagement sur le marché en cas de revente.;Lignes d'autorisation;Default Liquity Cd;TEC_AUTORIZATION_LINE;DFLT_LIQUITY_CD
Norme locale de l'activité;Non renseigné;Norme locale de l'activité principale exercée.;Tiers;Party Activity Norm Cd;TEC_PARTY;PRTY_ACTVY_NORM_CD
Référence de l'Autorisation mise en place;Non renseigné;"Permet d'identifier de manière unique le contrat dans le système Zone de Partage
Notion technique a-significative et invariante dans le temps (d'un arrêté sur l'autre)";Autorisation;Authorization Id;TEC_AUTORIZATION;AUTHZTN_ID
Dénomination sociale INSEE / Nom du tiers agrégat;Non renseigné;Dénomination sociale INSEE pour les tiers français;Tiers;Party Name;TEC_PARTY;PRTY_NAME
Flag prise en compte de gar. personnelle niv. 4 (corrigé);Non renseigné;Non renseigné;"Tranches ""OMP""";Third Party Garantee Level 4 Corrected Consideration Ind;TEC_IFRS9_TRANCHE;THIRD_PRTY_GARANTEE_LVL_4_CRCTD_CNSDRTN_IND
Montant global du nominal des titres (euro);Non renseigné;Valable pour les obligations;Contrats;Securities Global Nominal Euro Amt;TEC_CONTRACT;SCURTS_GLOBL_NMNL_EURO_AMT
Produit;Non renseigné;Code produit;Contrats;ALM Product Cd;TEC_CONTRACT;ALM_PROD_CD
Indicateur corrélation emprunteur sûreté;Non renseigné;Indicateur permettant de préciser le niveau de consanguinité entre la santé financière du garant ou la valeur de la sûreté, et la santé financière de l'emprunteur.;Garanties reçues;Relationship Borrower Guarantee Ind;TEC_RECEIVED_GUARANTEE;RLTNSHP_BORWR_GUAR_IND
Date de fin d’option 2;Non renseigné;Date de fin d'option 2;Contrats;Option 2 End Dt;TEC_CONTRACT;OPTN_2_END_DT
Devise montant Créances Impayées en capital;Non renseigné;Code devise des montants des Créances Impayées en capital;Contrats;Unpaid Capital Amt Currency Cd;TEC_CONTRACT;UNPD_CPTL_AMT_CURY_CD
Montant RA total (euro);Non renseigné;Montant total du remboursement anticipé depuis l'ouverture du contract;Contrats;Total Early Repayment Euro Amt;TEC_CONTRACT;TOT_EARLY_RPMT_EURO_AMT
Devise montant IRA;Non renseigné;Code devise du montant IRA;Contrats;Early Repayment Compensation Amt Currency Cd;TEC_CONTRACT;EARLY_RPMT_CMPSTN_AMT_CURY_CD
Balancing Payment inflation initiale (euro);Non renseigné;Composante inflation de la Balancing Payment. Montant de la Balancing Payment liée à l'inflation, en contrevaleur euro.;Contrats;Initial Inflation Balancing Payment Euro Amt;TEC_CONTRACT;INIT_INFLTN_BLNCG_PMT_EURO_AMT
Part en trésorerie tranche en cours;Non renseigné;Part en trésorerie (%) de l'entité pour la tranche en cours;Autorisation;Current Tranche Cash Part Rate;TEC_AUTORIZATION;CUR_TRNCH_CSH_PRT_RATE
Echelon qualité crédit titres sous-jacent;Non renseigné;Correspond  à l’échelon de qualité de crédit des titres;Contrats;Underlying Investment Product Credit Quality Cd;TEC_CONTRACT;UNDRLY_INVSTMT_PROD_CR_QLTY_CD
Nominal acheté en devise d'origine;Non renseigné;Non renseigné;Contrats;Purchase Nominal Amt;TEC_CONTRACT;PRCH_NMNL_AMT
Taux nominal;Non renseigné;Taux du contrat à la Date d'arrêté;Contrats;Nominal Rate;TEC_CONTRACT;NMNL_RATE
Centre de résultat Contrepartie;Non renseigné;Rubrique permetant de disposer d'une structure analytique CAsa;Contrats;Counterpart Result Division Cd;TEC_CONTRACT;CNTRPRT_RSULT_DVISN_CD
Organisme notation;Non renseigné;Organisme de notation à l'origine pour les tiers ayant changé de segmentation/marché (CORPORATE => RETAIL), Données de niveau Tiers mais stocké au niveau Contrat pour des questions de traçabilité (donnée à l'origine du contrat non nécessairement disponible dans le référentiel);Contrats;Original Rating Agency Cd;TEC_CONTRACT;ORIGNL_RTG_AGNCY_CD
Date de prochaine révision du taux du prêt;Non renseigné;"Détermine le début de la période suivante (soit P+1, si P est la période en cours).
Doit être renseignée pour tous les crédits ayant un type  de taux différent de 1 et dont le prêt n'est pas sur la dernière période.";Contrats;Rate Next Review Dt;TEC_CONTRACT;RATE_NXT_RVW_DT
PD de la tranche de niveau 2;Non renseigné;PD de la tranche de niveau 2;"Tranches ""OMP""";PD Level 2 Rate;TEC_IFRS9_TRANCHE;PD_LVL_2_RATE
Type de marché;Non renseigné;"Permet d'identifier la clientèle du contrat
Valeurs possibles : Retail (R), Corporate (C)";Garanties reçues;Market Type Cd;TEC_RECEIVED_GUARANTEE;MKT_TYPE_CD
Nominal de la patte titres (euro);Non renseigné;Non renseigné;Contrats;Security Leg Euro Amt;TEC_CONTRACT;SCURTY_LEG_EURO_AMT
Montant assiette réglementaire calculée en local;Non renseigné;Montant de l’assiette réglementaire calculée en local;Contrats;Local Calculated Regulatory Base Amt;TEC_CONTRACT;LOCL_CALCD_RGLTRY_BASE_AMT
Rôle d'intragroupe;Non renseigné;Non renseigné;Garanties reçues;Intragroup Role Cd;TEC_RECEIVED_GUARANTEE;INTRAGRP_ROLE_CD
Montant cours spot;Non renseigné;Montant cours spot;Contrats;Spot Price Amt;TEC_CONTRACT;SPOT_PRC_AMT
Date de Mobilisation future;Non renseigné;Date of future Mobilization;Contrats;Future Mobilization Dt;TEC_CONTRACT;FUT_MOBILIZATION_DT
Montant total Dépôts exceptionnels (euro);Non renseigné;Non renseigné;Contrats;Exceptional Deposit Euro Amt;TEC_CONTRACT;EXCPTNAL_DEP_EURO_AMT
Trimestre précédent;Non renseigné;Non renseigné;Arrêtés;Previous Quarter Dt;TEC_STATEMENT_DATE;PREV_QTR_DT
Rang de la sûreté;Non renseigné;"Le rang permet de connaître la position de l’entité vis à vis de la garantie.
En cas de mise en jeu de la sûreté, il précise l'ordre de distribution du prix de cession sur les créanciers lorsqu'ils sont plusieurs.
Cet ordre est déterminé en fonction de la date d'inscription de la sûreté. (1er inscrit => rang 1).
Si la banque est seul créancier, le rang est égal à 1.";Garanties reçues;Risk Mitigant Rank Cd;TEC_RECEIVED_GUARANTEE;RISK_MTGNT_RANK_CD
Taux nominal - Jambe emprunteuse;Non renseigné;Non renseigné;Contrats;Borrowing Leg Nominal Rate;TEC_CONTRACT;BORWG_LEG_NMNL_RATE
Date de remboursement / Date de vente;Non renseigné;Date de remboursement ou date de vente. Date de fin de contrat réelle.;Contrats;Repayment / Purchase Dt;TEC_CONTRACT;RPMT_PRCH_DT
Montant MTM part non libérée;Non renseigné;Montant MTM pied coupon;Contrats;Unpaid Portion MtM Amt;TEC_CONTRACT;UNPD_PORTN_MTM_AMT
Type identification titres;Non renseigné;Spécifie le type d'identification fournie pour les titres;Garanties reçues;Securities Identification Type Cd;TEC_RECEIVED_GUARANTEE;SCURTS_IDNTFTN_TYPE_CD
Identifiant local contrat;Non renseigné;Identifiant technique local du contrat;Autorisation;Host Authorization Id;TEC_AUTORIZATION;HOST_AUTHZTN_ID
Date révision note;Non renseigné;La date de la note est la date de la dernière révision, c'est-à-dire date à laquelle la note a été revue, même si celle-ci n'a pas changé.;Tiers;Rating Next Review Dttm;TEC_PARTY;RTG_NXT_RVW_DTTM
Libellé tiers;Non renseigné;Dénomination sociale figurant sur le certificat d'immatriculation de la contrepartie ou libellé long du tiers;Tiers;Party Desc;TEC_PARTY;PRTY_DESC
Devise financement garanti créances acheteurs;Non renseigné;Devise de la part de financement garanti par des créances acheteurs;Contrats;Debt Receivable Collateralized Amt Currency Cd;TEC_CONTRACT;DEBT_RECVBL_CLTRLZD_AMT_CURY_CD
Nombre de garanties reçues;Non renseigné;Nombre de garanties reçues pour la ligne d'autorisation;Lignes d'autorisation;Calculated Received Guarantee Nb;TEC_AUTORIZATION_LINE;CALCD_RECVD_GUAR_NB
Nominal vendu en contrevaleur;Non renseigné;Non renseigné;Contrats;Sale Nominal Euro Amt;TEC_CONTRACT;SL_NMNL_EURO_AMT
Convention de jour de calcul des intérêts;Non renseigné;Non renseigné;Contrats;Interest Calculation Convention Day Cd;TEC_CONTRACT;INT_CALCN_CNVTN_DY_CD
Référence unique opération dérivé couverture;Non renseigné;Permet de connaitre la référence du dérivé venant en couverture du titre.;Contrats;Hedging Derivative Operation Ref;TEC_CONTRACT;HEDGING_DERVTV_OPRTN_REF
Périmètre d'affectation de la provision/décote;Non renseigné;La valeur doit être connue du Langage Commun LC.167 Périmètre d'affectation de la provision/décote.;Provisions;Depreciation Scope Cd;TEC_DEPRECIATION;DPRCTN_SCP_CD
Surcote/Décote;Non renseigné;Indique l'existence d'une décote ou d'une surcote  lorsque la valeur de marché ne correspond pas exactement à la valeur actuelle du titre;Contrats;Overprice / Drop In Value Ind;TEC_CONTRACT;OVRPRC_DRP_IN_VAL_IND
Code Niveau d'intragroupe;Non renseigné;Non renseigné;Provisions;Intragroup Level Cd;TEC_DEPRECIATION;INTRAGRP_LVL_CD
Montant MtM jambe prêteuse;Non renseigné;Mark-to-Market de la jambe prêteuse;Contrats;Lending Leg MtM Amt;TEC_CONTRACT;LENDG_LEG_MTM_AMT
Application Finance;Non renseigné;Code de l'application émettrice spécifique à PALMA;Garanties reçues;Finance Application Cd;TEC_RECEIVED_GUARANTEE;FINC_APLCTN_CD
